ShipDetections,Latitude,Longitude,Detected_width,Detected_length
target_176,22.8409839045785,69.1903087210731,40,20
target_177,22.8394050236429,69.195640007927,60,20
target_178,22.8387554836099,69.1961534902043,70,60
target_179,22.6220936687244,70.2051950499496,30,50
target_180,22.6616987837644,69.9715219178971,240,170
target_181,22.6527524662985,69.9565936455439,280,210
target_182,22.6407274984435,69.9366230205399,250,220
target_183,22.6811807510764,69.7577847858449,220,280
target_184,22.7131938754456,69.7482068372335,180,180
target_185,22.6812484132326,69.7574023977024,260,280
target_186,22.7267912852575,69.6649888751477,80,80
target_187,22.7260069030182,69.6649274400235,80,70
target_188,22.9993133610105,68.077474396775,280,160
target_189,22.5855318862462,70.1933006627545,30,70
target_190,22.6112689958794,70.0614219475655,160,140
target_191,22.604850043261,70.0609105598473,110,110
target_192,22.5970765353554,70.0551582421971,140,110
target_193,22.6302785761376,69.9332591178842,190,120
target_194,22.6315870661654,69.9217402211679,230,180
target_195,22.6211997811402,69.9151499284556,220,210
target_196,22.6201983087558,69.9031970148269,230,180
target_197,22.6101807063045,69.8966364395854,190,170
target_198,22.6632044125038,69.7335148791301,150,280
target_199,22.6606543143874,69.7143510962155,250,230
target_200,22.6759712832594,69.6656107696907,90,80
target_201,22.6931356890303,69.6209064898409,90,100
target_202,22.6822505566597,69.623757539697,60,60
target_203,22.6885570656127,69.5863649050766,70,60
target_204,22.6662952834444,69.5943304491112,50,40
target_205,22.6653899129655,69.5938947732212,140,150
target_206,22.608656407632,69.8329517697954,280,220
target_207,22.5895971970527,69.8316865720215,70,80
target_208,22.593483304258,69.8058996775524,100,110
target_209,22.592444264421,69.807267418889,80,80
target_210,22.6299120425258,69.705119754117,240,190
target_211,22.6533555129927,69.4345122222237,290,180
target_212,22.6169866309394,69.6151023118066,250,140
target_213,22.5673489700621,69.7607658988427,130,130
target_214,22.5651060702911,69.7539094466875,100,90
target_215,22.5594615745027,69.7616932242869,50,40
target_216,22.5710555926751,69.7867472785274,200,250
target_217,22.5594082922025,69.7074602279487,280,150
target_218,22.5644408995163,69.8396935662231,70,70
target_219,22.5627457188565,69.8471144686165,100,110
target_220,22.5319339091399,69.9425174463759,30,50
target_221,22.5215094859797,69.945822781453,40,90
target_222,22.5259457678893,69.8971876349363,70,40
target_223,22.5086821835155,69.7947960652681,80,70
target_224,22.501134535806,69.8405938449603,70,80
target_225,22.5005900676616,69.8334001535353,20,50
target_226,22.492382284468,69.8521256480379,70,10
target_227,22.49313163952,69.8442635706896,30,130
target_228,22.519775786767,69.8816825136283,200,70
target_229,22.5095306241422,69.7490348309479,120,90
target_230,22.560334743327,69.6708132496347,260,280
target_231,22.5619913072658,69.6453618813301,190,290
target_232,22.607418303032,69.3923466511179,230,190
target_233,22.643331642544,69.1427019805279,280,250
target_234,22.6260220621464,69.1436678673553,290,180
target_235,22.5401849639856,69.6261218838726,240,180
target_236,22.6957885052801,68.7530283033483,240,130
target_237,22.4712820352927,69.9098686287071,70,90
target_238,22.4643542555994,69.9069771849147,60,60
target_239,22.5085293473577,69.7033352096076,50,40
target_240,22.5032037043696,69.6829682989171,280,230
target_241,22.4883794593941,69.6792272749489,110,100
target_242,22.4828067700863,69.6832103065339,70,60
target_243,22.4782568281727,69.6956723409236,80,80
target_244,22.4786754791364,69.683287306759,40,40
target_245,22.4758324824102,69.7871262438952,60,60
target_246,22.4888378841656,69.8489077492339,50,50
target_247,22.4807161358436,69.8309198073692,60,50
target_248,22.4751293951754,69.833113462008,80,100
target_249,22.4567494962359,69.8398460500109,60,30
target_250,22.5041193272366,69.6619734064662,220,110
target_251,22.5044353046716,69.660455407582,20,40
target_252,22.5816264462193,69.3133179047717,280,210
target_253,22.6022428999921,69.1343010245839,80,100
target_254,22.5292268342239,69.5966190858679,200,200
target_255,22.432771061875,69.8202095652849,30,80
target_256,22.4325180172303,69.8158509220744,60,80
target_257,22.4576014278662,69.7959240155827,10,60
target_258,22.4539629224185,69.7890236948779,70,80
target_259,22.4433173708492,69.8033203593475,70,90
target_260,22.4394498241777,69.7567338079973,20,50
target_261,22.4544424308556,69.6666434402647,140,70
target_262,22.4497892478935,69.6683433899329,80,80
target_263,22.4439633734845,69.6666313918427,100,130
target_264,22.4401304594457,69.6708280176256,10,30
target_265,22.4383053678026,69.6750482232742,60,120
target_266,22.4377075689828,69.6747253701676,100,260
target_267,22.4359717053966,69.6652585952223,20,30
target_268,22.4311099337149,69.6660239774731,60,60
target_269,22.4254215359543,69.6693376243306,70,70
target_270,22.4116757978924,69.6205100405134,100,40
target_271,22.5361491201753,68.9483411481711,70,60
target_272,22.3620157940281,69.6548513107663,60,90
target_273,22.3943302159096,69.6046253549918,40,30
target_274,22.3934276017547,69.6060197224548,140,150
target_275,22.3905472062974,69.6132825182747,130,110
target_276,22.3887168334566,69.6146316211759,80,110
target_277,22.3776725260507,69.6067392053551,70,70
target_278,22.458512185177,69.2925785819411,60,10
target_279,22.421601165403,69.5073709212582,170,40
target_280,22.4215927337987,69.5074186339093,180,40
target_281,22.4623476540129,69.1417749032478,190,230
target_282,22.4520696313603,69.1425830086384,100,100
target_283,22.4618880421592,69.0924264130566,50,50
target_284,22.5232244319006,68.8655768350567,130,290
target_285,22.3557048805627,69.5937017967611,120,180
target_286,22.3516972806319,69.6104677515531,100,100
target_287,22.4555928830573,69.0770940017042,90,90
target_288,22.4534609708007,69.0815524210964,80,80
target_289,22.4479933530756,69.0912112146149,80,70
target_290,22.4471788363297,69.0921320862712,100,50
target_291,22.4446687192212,69.0135962757306,120,130
target_292,22.4363026719898,69.0042248736015,10,30
target_293,22.4351798768747,69.0036989937699,90,50
target_294,22.5539151645621,68.5319247823825,290,250
target_295,22.3403321476875,69.4874193937065,50,110
target_296,22.3281344256004,69.4387209224073,90,100
target_297,22.3281344256004,69.4387209224073,90,100
target_298,22.3369636779146,69.326771124262,110,130
target_299,22.3963893072165,69.2046180821189,80,120
target_300,22.5195915802249,68.4089626750751,270,120
target_301,22.5295757987452,68.3311276994474,280,290
target_302,22.3068543236685,69.3339425989437,60,80
target_303,22.3650452791447,68.9544941331583,30,20
target_304,22.2899669803088,69.3119752642851,160,220
target_305,22.2810840847477,69.2939373029116,60,80
target_306,22.4586690641145,68.3664965079332,140,120
target_307,22.3827736105225,68.5349125646212,250,150
target_308,22.2504235482753,68.9515472671705,70,160
target_309,22.2393509933113,68.9559003746862,10,30
target_310,22.2385053920541,68.9564681146243,60,30
target_311,22.2361351381343,68.9628462984063,130,100
target_312,22.3011947259515,68.7559834299912,230,260
target_313,22.324467945237,68.6574437236935,180,130
target_314,22.2278736551043,68.9695500728464,70,40
target_315,22.2197293811748,68.9750428159608,40,40
target_316,22.1890822728823,68.6943003389769,260,280
