#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_029	POINT (19953 18)	19953	18	25.034480662856833	66.82636744641817	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_030	POINT (19762 142)	19762	142	25.020208982489663	66.84277549842393	210.0	220.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_031	POINT (19754 149)	19754	149	25.01950332196343	66.84339099185988	60.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_032	POINT (5152 661)	5152	661	24.73328284078963	68.2548492263015	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_033	POINT (9919 387)	9919	387	24.83782886627624	67.79681049039272	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_034	POINT (9964 672)	9964	672	24.8129172275233	67.78711329705058	120.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_035	POINT (15428 485)	15428	485	24.919473853349558	67.25893739534266	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_036	POINT (15623 656)	15623	656	24.907267479162513	67.23680578082781	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_037	POINT (15648 408)	15648	408	24.929984076671968	67.23890637640808	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_038	POINT (15641 453)	15641	453	24.925857619995792	67.2387814968718	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
