#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_121	POINT (15296 1219)	15296	1219	24.851140192806454	67.25841751347296	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_122	POINT (15603 1239)	15603	1239	24.854323349844243	67.22817440720368	20.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_123	POINT (15439 1295)	15439	1295	24.846650541552858	67.24318017029074	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_124	POINT (15443 1306)	15443	1306	24.84572342069755	67.24259126297008	50.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_125	POINT (15449 1310)	15449	1310	24.84546000399702	67.24193467881503	50.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_126	POINT (15446 1315)	15446	1315	24.844915354195507	67.24212690977687	50.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_127	POINT (15561 1344)	15561	1344	24.84421840034668	67.23036781581204	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_128	POINT (15352 1442)	15352	1442	24.83197918972397	67.24897907296133	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_129	POINT (15891 1111)	15891	1111	24.870528535037923	67.20250685160956	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_130	POINT (15834 1452)	15834	1452	24.838898669851638	67.20188800889206	110.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_131	POINT (17594 1201)	17594	1201	24.889999817301113	67.03508099123631	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_132	POINT (16535 1182)	16535	1182	24.874569612223635	67.13853062951121	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_133	POINT (16760 1091)	16760	1091	24.886417385235703	67.11826790548432	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_134	POINT (16768 1095)	16768	1095	24.886230858489927	67.11742567531837	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_135	POINT (16777 1169)	16777	1169	24.87970348990866	67.11521375431663	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_136	POINT (16857 1195)	16857	1195	24.8786047328952	67.10694549190923	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_137	POINT (16857 1294)	16857	1294	24.869723061443977	67.10516844878754	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_138	POINT (17317 1198)	17317	1198	24.885809166882957	67.06205916415885	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_139	POINT (17239 1270)	17239	1270	24.878005564873824	67.06839719002636	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_140	POINT (17153 1404)	17153	1404	24.864543658491993	67.07430775029161	120.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_141	POINT (17167 1414)	17167	1414	24.863904908169044	67.0728222222115	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_142	POINT (17338 1428)	17338	1428	24.86540991298397	67.05587306881917	80.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_143	POINT (18143 1111)	18143	1111	24.9069203173455	66.98317466121811	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_144	POINT (17960 1119)	17960	1119	24.90325309040173	67.00090547843199	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_145	POINT (17965 1126)	17965	1126	24.90271062754141	67.0002441475595	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_146	POINT (18081 1170)	18081	1170	24.900650746576797	66.9881639353452	40.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_147	POINT (17904 1174)	17904	1174	24.897390736904253	67.00537082273722	90.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_148	POINT (18002 1282)	18002	1282	24.889276597651648	66.99389656061179	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_149	POINT (18197 1407)	18197	1407	24.881145277002837	66.97261258182543	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_150	POINT (18673 1323)	18673	1323	24.896315264266605	66.9277509975023	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_151	POINT (18531 1204)	18531	1204	24.90480113601855	66.94377101434547	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_152	POINT (18245 1343)	18245	1343	24.88763292385683	66.96912575314889	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_153	POINT (18589 1396)	18589	1396	24.8883854101872	66.93462436078114	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_154	POINT (18252 1406)	18252	1406	24.882065346071844	66.96731387449675	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_155	POINT (21786 1369)	21786	1369	24.941874669228042	66.62367694085964	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_156	POINT (22226 1372)	22226	1372	24.948570601046594	66.58068104804003	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_157	POINT (19187 1409)	19187	1409	24.896851265227216	66.87621084072224	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_158	POINT (19914 1120)	19914	1120	24.934475275513627	66.81052572668868	30.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_159	POINT (20411 1190)	20411	1190	24.936148243349294	66.76085893022983	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_160	POINT (20749 1207)	20749	1207	24.940004549779697	66.72756710316769	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_161	POINT (4885 1780)	4885	1780	24.627816617210353	68.25963683402613	100.0	130.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_162	POINT (8989 1507)	8989	1507	24.72133074998088	67.86635483464086	40.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_163	POINT (9057 1765)	9057	1765	24.699182695840374	67.85494998761045	40.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_164	POINT (11422 1755)	11422	1755	24.73930155222979	67.62541184452569	150.0	220.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_165	POINT (11890 1621)	11890	1621	24.75914933103811	67.58239945347925	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_166	POINT (11618 1793)	11618	1793	24.739155806479452	67.60567331195908	90.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_167	POINT (11623 1811)	11623	1811	24.73757749318452	67.60479801814479	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_168	POINT (12472 1495)	12472	1495	24.780058818521045	67.52807745822484	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_169	POINT (12513 1710)	12513	1710	24.761331954383138	67.5201941266454	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_170	POINT (13695 1544)	13695	1544	24.795738697290467	67.40831219591328	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_171	POINT (13896 1590)	13896	1590	24.794882418964935	67.38792567548124	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_172	POINT (13894 1605)	13894	1605	24.793496762572854	67.38784639669335	110.0	170.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_173	POINT (13888 1670)	13888	1670	24.787535931911595	67.38724349910399	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_174	POINT (14073 1736)	14073	1736	24.784577036695225	67.36799281444554	160.0	160.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_175	POINT (14315 1491)	14315	1491	24.810658622912214	67.34897678801002	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_176	POINT (14372 1522)	14372	1522	24.808754827079646	67.34280894006461	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_177	POINT (14242 1647)	14242	1647	24.795399122719697	67.35323552209306	190.0	190.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_178	POINT (14149 1775)	14149	1775	24.782346928298082	67.35989983892398	40.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_179	POINT (14746 1487)	14746	1487	24.817998975788893	67.30710960889144	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_180	POINT (14513 1650)	14513	1650	24.7995007122578	67.32680989848612	90.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_181	POINT (15424 1473)	15424	1473	24.83036311836338	67.2413621171481	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_182	POINT (15468 1497)	15468	1497	24.82891242777993	67.2366444724084	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_183	POINT (14882 1477)	14882	1477	24.82116253018852	67.29406939468319	10.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_184	POINT (15068 1599)	15068	1599	24.81314650753039	67.27374818955572	190.0	220.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_185	POINT (14917 1626)	14917	1626	24.808303533626535	67.28790705962369	60.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_186	POINT (14918 1629)	14918	1629	24.808041127892192	67.28780388523498	30.0	10.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_187	POINT (15834 1452)	15834	1452	24.838898669851638	67.20188800889206	110.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_188	POINT (15747 1725)	15747	1725	24.81286886492209	67.20540859841118	50.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_189	POINT (15778 1798)	15778	1798	24.806788717168324	67.20106947071619	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_190	POINT (16716 1566)	16716	1566	24.84288466808752	67.11392960992806	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_191	POINT (16012 1495)	16012	1495	24.837863011624133	67.18377651194625	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_192	POINT (17854 1664)	17854	1664	24.852412929621437	67.00138715032477	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_193	POINT (17928 1769)	17928	1769	24.844177242437084	66.99235565339588	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_194	POINT (17026 1739)	17026	1739	24.832333218708737	67.08064191877118	140.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_195	POINT (17631 1469)	17631	1469	24.866387945374857	67.0266495306895	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_196	POINT (17641 1527)	17641	1527	24.861364924927663	67.024641968465	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_197	POINT (17587 1595)	17587	1595	24.854362407753076	67.02867579812512	130.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_198	POINT (17776 1593)	17776	1593	24.85755568559195	67.010255768276	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_199	POINT (17569 1610)	17569	1610	24.852682465191805	67.03010053001289	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_200	POINT (17854 1664)	17854	1664	24.852412929621437	67.00138715032477	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_201	POINT (17553 1679)	17553	1679	24.846239969946065	67.03047444177679	50.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_202	POINT (17582 1781)	17582	1781	24.837474266582472	67.02575924448082	20.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_203	POINT (17239 1463)	17239	1463	24.860603467194323	67.06492074199302	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_204	POINT (17362 1512)	17362	1512	24.85817820665046	67.05201517926608	140.0	120.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_205	POINT (17468 1544)	17468	1544	24.85704045061523	67.04117770584958	90.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_206	POINT (17421 1574)	17421	1574	24.85354005092589	67.04515547975856	80.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_207	POINT (17366 1595)	17366	1595	24.850759031544452	67.05013150524712	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_208	POINT (17414 1661)	17414	1661	24.84557467015577	67.04431961031005	90.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_209	POINT (18632 1475)	18632	1475	24.881990605993675	66.92907924411513	50.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_210	POINT (18859 1586)	18859	1586	24.875583205042595	66.90497775215644	90.0	100.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_211	POINT (18960 1614)	18960	1614	24.87468869996762	66.89459321844349	140.0	180.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_212	POINT (18944 1618)	18944	1618	24.8740631564257	66.89612832941349	90.0	180.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_213	POINT (18603 1643)	18603	1643	24.866378988179612	66.92889386255177	150.0	150.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_214	POINT (18763 1647)	18763	1647	24.86855045404405	66.91318510421962	180.0	140.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_215	POINT (18534 1460)	18534	1460	24.881732449494393	66.93883398450913	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_216	POINT (18261 1518)	18261	1518	24.87211214651477	66.96442833297513	70.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_217	POINT (18602 1643)	18602	1643	24.86637095965674	66.9289425485261	140.0	150.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_218	POINT (19153 1537)	19153	1537	24.88472115944581	66.87722511386741	50.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_219	POINT (19188 1615)	19188	1615	24.87829654320893	66.87243172087462	70.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_220	POINT (19197 1624)	19197	1624	24.877592664195046	66.87133688730476	80.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_221	POINT (19318 1633)	19318	1633	24.878718444212	66.8593914233869	60.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_222	POINT (19252 1655)	19252	1655	24.87571787858099	66.86548492542708	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_223	POINT (19308 1678)	19308	1678	24.87454708900713	66.8595705706353	80.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_224	POINT (19717 1703)	19717	1703	24.878827572732884	66.8192859960726	20.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_225	POINT (21818 1800)	21818	1800	24.903546885492897	66.61288893210452	100.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_226	POINT (20814 1491)	20814	1491	24.915386036742138	66.71622972039015	110.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_227	POINT (20813 1502)	20813	1502	24.914423724434197	66.71614076149356	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_228	POINT (21290 1516)	21290	1516	24.920750992408475	66.66936185332149	80.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_229	POINT (21258 1564)	21258	1564	24.915871061425822	66.67162064401559	280.0	160.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_230	POINT (21243 1635)	21243	1635	24.909278427552138	66.67183286359617	60.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_231	POINT (20906 1557)	20906	1557	24.910952374800438	66.70605344109835	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_232	POINT (21085 1568)	21085	1568	24.912797986398488	66.68846482144704	50.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_233	POINT (20999 1577)	20999	1577	24.91061989858036	66.69668518302782	70.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_234	POINT (21020 1627)	21020	1627	24.90640990274559	66.69369441552838	260.0	140.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_235	POINT (20864 1658)	20864	1658	24.901136164472245	66.70834448586535	20.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_236	POINT (20870 1660)	20870	1660	24.901088384872057	66.7077819667699	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_237	POINT (8780 2111)	8780	2111	24.66337987046007	67.87546122803828	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_238	POINT (9118 2069)	9118	2069	24.67276864107363	67.84336873510905	40.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_239	POINT (10999 1886)	10999	1886	24.720493574765335	67.66404914652021	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_240	POINT (11757 1959)	11757	1959	24.726478009661715	67.58905781608799	60.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_241	POINT (15766 1848)	15766	1848	24.8020932449745	67.20128250367864	80.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_242	POINT (15965 2082)	15965	2082	24.784212608669172	67.17772834957161	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_243	POINT (15964 2151)	15964	2151	24.77793746150703	67.17651692117629	100.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_244	POINT (16084 1950)	16084	1950	24.79805415786838	67.16849528952964	80.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_245	POINT (16364 2134)	16364	2134	24.785997292081433	67.13797190434859	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_246	POINT (14144 1858)	14144	1858	24.774771408344147	67.35892149006553	130.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_247	POINT (14344 1857)	14344	1857	24.778076790463693	67.33947828908336	50.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_248	POINT (14470 1885)	14470	1885	24.777658734237193	67.32667392202298	40.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_249	POINT (14329 1902)	14329	1902	24.773826977069106	67.34007780347052	80.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_250	POINT (15071 1845)	15071	1845	24.791010140134784	67.26898708363167	90.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_251	POINT (14884 1886)	14884	1886	24.784317429683224	67.2863902141516	180.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_252	POINT (14882 1886)	14882	1886	24.78428482637848	67.28658473346825	140.0	110.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_253	POINT (14695 1929)	14695	1929	24.77735022964946	67.30403857289443	290.0	130.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
